fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,class
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(20.8755-27.679],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.1252-0.17905],(0.02885-0.06645],(72.36905-117.5507],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.1252-0.17905],(0.06645-0.09155],(-26.2607-72.36905],(50.8461-89.02675],(4.93665-23.982],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(27.679-41.56315],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(-22.18855--7.6604],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(66.5011-inf),(296.78665-373.9537],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-22.18855--7.6604],(11.82045-20.8755],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(9.6684-11.82045],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(23.982-34.9676],(4.12705-9.6684],(296.78665-373.9537],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(66.5011-inf),(-inf-121.44495],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-4.37225-4.93665],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-103.79775--26.2607],(-32.0748--20.0217],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(-32.0748--20.0217],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(-inf-0.0351],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-4.37225-4.93665],(66.5011-inf),(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.1252-0.17905],(0.06645-0.09155],(-26.2607-72.36905],(89.02675-102.48065],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(12.1743-13.2952],(8.9992-10.17065],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(4.90315-50.8461],(-22.18855--7.6604],(4.12705-9.6684],(296.78665-373.9537],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.1252-0.17905],(0.06645-0.09155],(-103.79775--26.2607],(4.90315-50.8461],(-29.64585--22.18855],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(8.9992-10.17065],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-171.0525--103.79775],(50.8461-89.02675],(4.93665-23.982],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(8.9992-10.17065],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-22.18855--7.6604],(27.679-41.56315],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(20.8755-27.679],(-inf-121.44495],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.05675-0.1252],(0.02885-0.06645],(-171.0525--103.79775],(50.8461-89.02675],(23.982-34.9676],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-4.37225-4.93665],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-4.166-4.90315],(-22.18855--7.6604],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(-32.0748--20.0217],(-22.18855--7.6604],(4.12705-9.6684],(296.78665-373.9537],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(-29.64585--22.18855],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(66.5011-inf),(121.44495-217.1596],g
(16.9245-101.2315],(8.9992-10.17065],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(9.6684-11.82045],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-103.79775--26.2607],(4.90315-50.8461],(-7.6604--4.37225],(11.82045-20.8755],(-inf-121.44495],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.24185-inf),(-103.79775--26.2607],(-88.7812--56.25835],(-22.18855--7.6604],(9.6684-11.82045],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(50.8461-89.02675],(-7.6604--4.37225],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-7.6604--4.37225],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-22.18855--7.6604],(41.56315-66.5011],(-inf-121.44495],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.1252-0.17905],(0.06645-0.09155],(-26.2607-72.36905],(4.90315-50.8461],(-29.64585--22.18855],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-7.6604--4.37225],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(-inf-2.315],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(-32.0748--20.0217],(4.93665-23.982],(11.82045-20.8755],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(9.6684-11.82045],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(9.6684-11.82045],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(72.36905-117.5507],(-20.0217--4.166],(4.93665-23.982],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.05675-0.1252],(0.02885-0.06645],(72.36905-117.5507],(50.8461-89.02675],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.05675-0.1252],(0.02885-0.06645],(-26.2607-72.36905],(50.8461-89.02675],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(89.02675-102.48065],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-29.64585--22.18855],(-inf-4.12705],(296.78665-373.9537],g
(16.9245-101.2315],(10.17065-14.8732],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(66.5011-inf),(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.1252-0.17905],(0.06645-0.09155],(-26.2607-72.36905],(50.8461-89.02675],(-22.18855--7.6604],(27.679-41.56315],(121.44495-217.1596],g
(101.2315-114.6085],(33.04785-41.54295],(2.455-4.35615],(0.05675-0.1252],(0.02885-0.06645],(72.36905-117.5507],(89.02675-102.48065],(-29.64585--22.18855],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(66.5011-inf),(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(4.93665-23.982],(11.82045-20.8755],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(9.6684-11.82045],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(11.82045-20.8755],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(-20.0217--4.166],(-22.18855--7.6604],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.315-2.455],(0.37655-0.70245],(0.09155-0.24185],(-103.79775--26.2607],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-56.25835--32.0748],(4.93665-23.982],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(-inf-0.0351],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-4.37225-4.93665],(41.56315-66.5011],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-22.18855--7.6604],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(20.8755-27.679],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-171.0525--103.79775],(50.8461-89.02675],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(11.82045-20.8755],(-inf-121.44495],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(4.93665-23.982],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(121.44495-217.1596],g
(16.9245-101.2315],(33.04785-41.54295],(2.455-4.35615],(0.05675-0.1252],(0.02885-0.06645],(-26.2607-72.36905],(50.8461-89.02675],(23.982-34.9676],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(72.36905-117.5507],(-56.25835--32.0748],(-7.6604--4.37225],(9.6684-11.82045],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(6.55725-7.5376],(-inf-2.315],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-7.6604--4.37225],(41.56315-66.5011],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-171.0525--103.79775],(50.8461-89.02675],(-22.18855--7.6604],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(-inf-121.44495],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-171.0525--103.79775],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(296.78665-373.9537],g
(16.9245-101.2315],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(41.56315-66.5011],(217.1596-296.78665],g
(12.1743-13.2952],(10.17065-14.8732],(-inf-2.315],(0.70245-0.80595],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(66.5011-inf),(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(4.93665-23.982],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(-22.18855--7.6604],(41.56315-66.5011],(-inf-121.44495],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(-22.18855--7.6604],(27.679-41.56315],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(41.56315-66.5011],(-inf-121.44495],g
(16.1921-16.9245],(10.17065-14.8732],(2.315-2.455],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-4.166-4.90315],(-4.37225-4.93665],(66.5011-inf),(217.1596-296.78665],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(50.8461-89.02675],(-22.18855--7.6604],(4.12705-9.6684],(217.1596-296.78665],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.09155-0.24185],(-26.2607-72.36905],(-20.0217--4.166],(-4.37225-4.93665],(4.12705-9.6684],(121.44495-217.1596],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(-32.0748--20.0217],(-29.64585--22.18855],(27.679-41.56315],(-inf-121.44495],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(-22.18855--7.6604],(11.82045-20.8755],(121.44495-217.1596],g
(16.9245-101.2315],(14.8732-26.33025],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-26.2607-72.36905],(4.90315-50.8461],(4.93665-23.982],(-inf-4.12705],(217.1596-296.78665],g
(16.9245-101.2315],(26.33025-33.04785],(2.455-4.35615],(0.17905-0.37655],(0.09155-0.24185],(-103.79775--26.2607],(-56.25835--32.0748],(-22.18855--7.6604],(4.12705-9.6684],(296.78665-373.9537],g
(16.9245-101.2315],(8.9992-10.17065],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-103.79775--26.2607],(4.90315-50.8461],(4.93665-23.982],(20.8755-27.679],(121.44495-217.1596],g
(16.9245-101.2315],(10.17065-14.8732],(2.455-4.35615],(0.37655-0.70245],(0.24185-inf),(-26.2607-72.36905],(-20.0217--4.166],(-7.6604--4.37225],(4.12705-9.6684],(121.44495-217.1596],g
